PID,field_abstract,field_alt_title,field_classification,field_copyright_date,field_date_captured,field_dewey_classification,field_edition,field_edtf_date_created,field_edtf_date_issued,field_extent,field_full_title,field_geographic_subject,field_identifier,field_is_preceded_by,field_is_succeeded_by,field_isbn,field_language,field_lcc_classification,field_linked_agent,field_local_identifier,field_mode_of_issuance,field_note,field_oclc_number,field_physical_form,field_pid,field_place_published,field_place_published_country,field_resource_type,field_rights,field_subject,field_subjects_name,field_table_of_contents,title
lsu-ag-agexp:8356,,,,,,,,,,,lsu-ag-agexp:8300-34,,,,,,,,,,,,,,lsu-ag-agexp:8356,,,,,,,,lsu-ag-agexp:8300-34
lsu-ag-agexp:8357,,,,,,,,,,,lsu-ag-agexp:8300-44,,,,,,,,,,,,,,lsu-ag-agexp:8357,,,,,,,,lsu-ag-agexp:8300-44
lsu-ag-agexp:8358,,,,,,,,,1911,,Cane syrup making.,,,,,,,,relators:aut:person:|relators:ctb:person:|relators:ctb:person:|relators:ctb:corporate_body:|relators:pbl:corporate_body:Ramires-Jones printing co.,,,"host: LSU Agricultural Experiment Station Sugar Research Materials http://louisianadigitallibrary.org/islandora/object/lsu-ag-agexp:collection Louisiana Bulletin. Ser. 2, no. 129 (1911) Volume 129",,,lsu-ag-agexp:8358,,,Text,use and reproduction: This item is in the public domain.|use and reproduction: Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,subject:Agriculture -- Louisiana|subject:Sugar -- Research -- Louisiana|subject:Sugar -- Manufacture and refining -- Periodicals|subject:Sugarcane -- Louisiana|subject:Sugarcane -- Louisiana -- Periodicals|subject:Sugarcane products -- Louisiana|subject:Syrups,,,Cane syrup making.
lsu-ag-agexp:8359,,,,,,,,,,,lsu-ag-agexp:8358-29,,,,,,,,,,,,,,lsu-ag-agexp:8359,,,,,,,,lsu-ag-agexp:8358-29
lsu-ag-agexp:835,,,,,,,,,,,lsu-ag-agexp:831-12,,,,,,,,,,,,,,lsu-ag-agexp:835,,,,,,,,lsu-ag-agexp:831-12
lsu-ag-agexp:8360,,,,,,,,,,,lsu-ag-agexp:8358-33,,,,,,,,,,,,,,lsu-ag-agexp:8360,,,,,,,,lsu-ag-agexp:8358-33
lsu-ag-agexp:8361,,,,,,,,,,,lsu-ag-agexp:8358-32,,,,,,,,,,,,,,lsu-ag-agexp:8361,,,,,,,,lsu-ag-agexp:8358-32
lsu-ag-agexp:8362,,,,,,,,,,,lsu-ag-agexp:8358-12,,,,,,,,,,,,,,lsu-ag-agexp:8362,,,,,,,,lsu-ag-agexp:8358-12
lsu-ag-agexp:8363,,,,,,,,,,,lsu-ag-agexp:8358-25,,,,,,,,,,,,,,lsu-ag-agexp:8363,,,,,,,,lsu-ag-agexp:8358-25
lsu-ag-agexp:8364,,,,,,,,,,,lsu-ag-agexp:8358-19,,,,,,,,,,,,,,lsu-ag-agexp:8364,,,,,,,,lsu-ag-agexp:8358-19
lsu-ag-agexp:8365,,,,,,,,,,,lsu-ag-agexp:8358-27,,,,,,,,,,,,,,lsu-ag-agexp:8365,,,,,,,,lsu-ag-agexp:8358-27
lsu-ag-agexp:8366,,,,,,,,,,,lsu-ag-agexp:8358-9,,,,,,,,,,,,,,lsu-ag-agexp:8366,,,,,,,,lsu-ag-agexp:8358-9
lsu-ag-agexp:8367,,,,,,,,,,,lsu-ag-agexp:8358-16,,,,,,,,,,,,,,lsu-ag-agexp:8367,,,,,,,,lsu-ag-agexp:8358-16
lsu-ag-agexp:8368,,,,,,,,,,,lsu-ag-agexp:8358-24,,,,,,,,,,,,,,lsu-ag-agexp:8368,,,,,,,,lsu-ag-agexp:8358-24
lsu-ag-agexp:8369,,,,,,,,,,,lsu-ag-agexp:8358-15,,,,,,,,,,,,,,lsu-ag-agexp:8369,,,,,,,,lsu-ag-agexp:8358-15
lsu-ag-agexp:836,,,,,,,,,,,lsu-ag-agexp:831-25,,,,,,,,,,,,,,lsu-ag-agexp:836,,,,,,,,lsu-ag-agexp:831-25
lsu-ag-agexp:8370,,,,,,,,,,,lsu-ag-agexp:8358-31,,,,,,,,,,,,,,lsu-ag-agexp:8370,,,,,,,,lsu-ag-agexp:8358-31
lsu-ag-agexp:8371,,,,,,,,,,,lsu-ag-agexp:8358-3,,,,,,,,,,,,,,lsu-ag-agexp:8371,,,,,,,,lsu-ag-agexp:8358-3
lsu-ag-agexp:8372,,,,,,,,,,,lsu-ag-agexp:8358-4,,,,,,,,,,,,,,lsu-ag-agexp:8372,,,,,,,,lsu-ag-agexp:8358-4
lsu-ag-agexp:8373,,,,,,,,,,,lsu-ag-agexp:8358-30,,,,,,,,,,,,,,lsu-ag-agexp:8373,,,,,,,,lsu-ag-agexp:8358-30
lsu-ag-agexp:8374,,,,,,,,,,,lsu-ag-agexp:8358-17,,,,,,,,,,,,,,lsu-ag-agexp:8374,,,,,,,,lsu-ag-agexp:8358-17
lsu-ag-agexp:8375,,,,,,,,,,,lsu-ag-agexp:8358-35,,,,,,,,,,,,,,lsu-ag-agexp:8375,,,,,,,,lsu-ag-agexp:8358-35
lsu-ag-agexp:8376,,,,,,,,,,,lsu-ag-agexp:8358-23,,,,,,,,,,,,,,lsu-ag-agexp:8376,,,,,,,,lsu-ag-agexp:8358-23
lsu-ag-agexp:8377,,,,,,,,,,,lsu-ag-agexp:8358-5,,,,,,,,,,,,,,lsu-ag-agexp:8377,,,,,,,,lsu-ag-agexp:8358-5
lsu-ag-agexp:8378,,,,,,,,,,,lsu-ag-agexp:8358-1,,,,,,,,,,,,,,lsu-ag-agexp:8378,,,,,,,,lsu-ag-agexp:8358-1
lsu-ag-agexp:8379,,,,,,,,,,,lsu-ag-agexp:8358-6,,,,,,,,,,,,,,lsu-ag-agexp:8379,,,,,,,,lsu-ag-agexp:8358-6
lsu-ag-agexp:837,,,,,,,,,,,lsu-ag-agexp:831-19,,,,,,,,,,,,,,lsu-ag-agexp:837,,,,,,,,lsu-ag-agexp:831-19
lsu-ag-agexp:8380,,,,,,,,,,,lsu-ag-agexp:8358-7,,,,,,,,,,,,,,lsu-ag-agexp:8380,,,,,,,,lsu-ag-agexp:8358-7
lsu-ag-agexp:8381,,,,,,,,,,,lsu-ag-agexp:8358-10,,,,,,,,,,,,,,lsu-ag-agexp:8381,,,,,,,,lsu-ag-agexp:8358-10
lsu-ag-agexp:8382,,,,,,,,,,,lsu-ag-agexp:8358-18,,,,,,,,,,,,,,lsu-ag-agexp:8382,,,,,,,,lsu-ag-agexp:8358-18
lsu-ag-agexp:8383,,,,,,,,,,,lsu-ag-agexp:8358-26,,,,,,,,,,,,,,lsu-ag-agexp:8383,,,,,,,,lsu-ag-agexp:8358-26
lsu-ag-agexp:8384,,,,,,,,,,,lsu-ag-agexp:8358-13,,,,,,,,,,,,,,lsu-ag-agexp:8384,,,,,,,,lsu-ag-agexp:8358-13
lsu-ag-agexp:8385,,,,,,,,,,,lsu-ag-agexp:8358-28,,,,,,,,,,,,,,lsu-ag-agexp:8385,,,,,,,,lsu-ag-agexp:8358-28
lsu-ag-agexp:8386,,,,,,,,,,,lsu-ag-agexp:8358-2,,,,,,,,,,,,,,lsu-ag-agexp:8386,,,,,,,,lsu-ag-agexp:8358-2
lsu-ag-agexp:8387,,,,,,,,,,,lsu-ag-agexp:8358-22,,,,,,,,,,,,,,lsu-ag-agexp:8387,,,,,,,,lsu-ag-agexp:8358-22
lsu-ag-agexp:8388,,,,,,,,,,,lsu-ag-agexp:8358-21,,,,,,,,,,,,,,lsu-ag-agexp:8388,,,,,,,,lsu-ag-agexp:8358-21
lsu-ag-agexp:8389,,,,,,,,,,,lsu-ag-agexp:8358-20,,,,,,,,,,,,,,lsu-ag-agexp:8389,,,,,,,,lsu-ag-agexp:8358-20
lsu-ag-agexp:838,,,,,,,,,,,lsu-ag-agexp:831-27,,,,,,,,,,,,,,lsu-ag-agexp:838,,,,,,,,lsu-ag-agexp:831-27
lsu-ag-agexp:8390,,,,,,,,,,,lsu-ag-agexp:8358-8,,,,,,,,,,,,,,lsu-ag-agexp:8390,,,,,,,,lsu-ag-agexp:8358-8
lsu-ag-agexp:8391,,,,,,,,,,,lsu-ag-agexp:8358-14,,,,,,,,,,,,,,lsu-ag-agexp:8391,,,,,,,,lsu-ag-agexp:8358-14
lsu-ag-agexp:8392,,,,,,,,,,,lsu-ag-agexp:8358-11,,,,,,,,,,,,,,lsu-ag-agexp:8392,,,,,,,,lsu-ag-agexp:8358-11
lsu-ag-agexp:8393,,,,,,,,,,,lsu-ag-agexp:8358-34,,,,,,,,,,,,,,lsu-ag-agexp:8393,,,,,,,,lsu-ag-agexp:8358-34
lsu-ag-agexp:8394,,,,,,,,,1944,,"Financial results of the operation of sugar mills in Louisiana 1939, 1940 and 1941.",,,,,,,,relators:aut:person:|relators:ctb:person:|relators:ctb:corporate_body:,,,"host: LSU Agricultural Experiment Station Sugar Research Materials http://louisianadigitallibrary.org/islandora/object/lsu-ag-agexp:collection Louisiana Bulletin. Ser. 2, no. 373 (1944) Volume 373",,,lsu-ag-agexp:8394,,,Text,use and reproduction: This item is in the public domain.|use and reproduction: Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,subject:Agriculture -- Louisiana|subject:Sugar -- Research -- Louisiana|subject:Sugar -- Manufacture and refining -- Louisiana -- Periodicals|subject:Sugar -- Manufacture and refining -- Periodicals|subject:Sugarcane -- Louisiana|subject:Sugarcane -- Louisiana -- Periodicals|subject:Sugar factories -- Louisiana,,,"Financial results of the operation of sugar mills in Louisiana 1939, 1940 and 1941."
lsu-ag-agexp:8395,,,,,,,,,,,lsu-ag-agexp:8394-12,,,,,,,,,,,,,,lsu-ag-agexp:8395,,,,,,,,lsu-ag-agexp:8394-12
lsu-ag-agexp:8396,,,,,,,,,,,lsu-ag-agexp:8394-9,,,,,,,,,,,,,,lsu-ag-agexp:8396,,,,,,,,lsu-ag-agexp:8394-9
lsu-ag-agexp:8397,,,,,,,,,,,lsu-ag-agexp:8394-16,,,,,,,,,,,,,,lsu-ag-agexp:8397,,,,,,,,lsu-ag-agexp:8394-16
lsu-ag-agexp:8398,,,,,,,,,,,lsu-ag-agexp:8394-15,,,,,,,,,,,,,,lsu-ag-agexp:8398,,,,,,,,lsu-ag-agexp:8394-15
lsu-ag-agexp:8399,,,,,,,,,,,lsu-ag-agexp:8394-3,,,,,,,,,,,,,,lsu-ag-agexp:8399,,,,,,,,lsu-ag-agexp:8394-3
lsu-ag-agexp:839,,,,,,,,,,,lsu-ag-agexp:831-9,,,,,,,,,,,,,,lsu-ag-agexp:839,,,,,,,,lsu-ag-agexp:831-9
lsu-ag-agexp:83,,,,,,,,,,,lsu-ag-agexp:42-23,,,,,,,,,,,,,,lsu-ag-agexp:83,,,,,,,,lsu-ag-agexp:42-23
lsu-ag-agexp:8400,,,,,,,,,,,lsu-ag-agexp:8394-4,,,,,,,,,,,,,,lsu-ag-agexp:8400,,,,,,,,lsu-ag-agexp:8394-4
lsu-ag-agexp:8401,,,,,,,,,,,lsu-ag-agexp:8394-17,,,,,,,,,,,,,,lsu-ag-agexp:8401,,,,,,,,lsu-ag-agexp:8394-17
lsu-ag-agexp:8402,,,,,,,,,,,lsu-ag-agexp:8394-5,,,,,,,,,,,,,,lsu-ag-agexp:8402,,,,,,,,lsu-ag-agexp:8394-5
lsu-ag-agexp:8403,,,,,,,,,,,lsu-ag-agexp:8394-1,,,,,,,,,,,,,,lsu-ag-agexp:8403,,,,,,,,lsu-ag-agexp:8394-1
lsu-ag-agexp:8404,,,,,,,,,,,lsu-ag-agexp:8394-6,,,,,,,,,,,,,,lsu-ag-agexp:8404,,,,,,,,lsu-ag-agexp:8394-6
lsu-ag-agexp:8405,,,,,,,,,,,lsu-ag-agexp:8394-7,,,,,,,,,,,,,,lsu-ag-agexp:8405,,,,,,,,lsu-ag-agexp:8394-7
lsu-ag-agexp:8406,,,,,,,,,,,lsu-ag-agexp:8394-10,,,,,,,,,,,,,,lsu-ag-agexp:8406,,,,,,,,lsu-ag-agexp:8394-10
lsu-ag-agexp:8407,,,,,,,,,,,lsu-ag-agexp:8394-18,,,,,,,,,,,,,,lsu-ag-agexp:8407,,,,,,,,lsu-ag-agexp:8394-18
lsu-ag-agexp:8408,,,,,,,,,,,lsu-ag-agexp:8394-13,,,,,,,,,,,,,,lsu-ag-agexp:8408,,,,,,,,lsu-ag-agexp:8394-13
lsu-ag-agexp:8409,,,,,,,,,,,lsu-ag-agexp:8394-2,,,,,,,,,,,,,,lsu-ag-agexp:8409,,,,,,,,lsu-ag-agexp:8394-2
lsu-ag-agexp:840,,,,,,,,,,,lsu-ag-agexp:831-16,,,,,,,,,,,,,,lsu-ag-agexp:840,,,,,,,,lsu-ag-agexp:831-16
lsu-ag-agexp:8410,,,,,,,,,,,lsu-ag-agexp:8394-8,,,,,,,,,,,,,,lsu-ag-agexp:8410,,,,,,,,lsu-ag-agexp:8394-8
lsu-ag-agexp:8411,,,,,,,,,,,lsu-ag-agexp:8394-14,,,,,,,,,,,,,,lsu-ag-agexp:8411,,,,,,,,lsu-ag-agexp:8394-14
lsu-ag-agexp:8412,,,,,,,,,,,lsu-ag-agexp:8394-11,,,,,,,,,,,,,,lsu-ag-agexp:8412,,,,,,,,lsu-ag-agexp:8394-11
lsu-ag-agexp:8413,,,,,,,,,2009,,"Sugarcane Research Annual Progress Report, 2009",,,,,,,,"relators:aut:person:|relators:ctb:corporate_body:|relators:pbl:corporate_body:Louisiana Agricultural Experiment Station, Louisiana State University Agriculturual Center",,,host: LSU Agricultural Experiment Station Sugar Research Materials http://louisianadigitallibrary.org/islandora/object/lsu-ag-agexp:collection,,,lsu-ag-agexp:8413,,,Text,use and reproduction: This item is in the public domain.|use and reproduction: Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,subject:Sugarcane -- Louisiana,,,"Sugarcane Research Annual Progress Report, 2009"
lsu-ag-agexp:8414,,,,,,,,,,,lsu-ag-agexp:8413-50,,,,,,,,,,,,,,lsu-ag-agexp:8414,,,,,,,,lsu-ag-agexp:8413-50
lsu-ag-agexp:8415,,,,,,,,,,,lsu-ag-agexp:8413-29,,,,,,,,,,,,,,lsu-ag-agexp:8415,,,,,,,,lsu-ag-agexp:8413-29
lsu-ag-agexp:8416,,,,,,,,,,,lsu-ag-agexp:8413-33,,,,,,,,,,,,,,lsu-ag-agexp:8416,,,,,,,,lsu-ag-agexp:8413-33
lsu-ag-agexp:8417,,,,,,,,,,,lsu-ag-agexp:8413-32,,,,,,,,,,,,,,lsu-ag-agexp:8417,,,,,,,,lsu-ag-agexp:8413-32
lsu-ag-agexp:8418,,,,,,,,,,,lsu-ag-agexp:8413-161,,,,,,,,,,,,,,lsu-ag-agexp:8418,,,,,,,,lsu-ag-agexp:8413-161
lsu-ag-agexp:8419,,,,,,,,,,,lsu-ag-agexp:8413-124,,,,,,,,,,,,,,lsu-ag-agexp:8419,,,,,,,,lsu-ag-agexp:8413-124
lsu-ag-agexp:841,,,,,,,,,,,lsu-ag-agexp:831-24,,,,,,,,,,,,,,lsu-ag-agexp:841,,,,,,,,lsu-ag-agexp:831-24
lsu-ag-agexp:8420,,,,,,,,,,,lsu-ag-agexp:8413-101,,,,,,,,,,,,,,lsu-ag-agexp:8420,,,,,,,,lsu-ag-agexp:8413-101
lsu-ag-agexp:8421,,,,,,,,,,,lsu-ag-agexp:8413-138,,,,,,,,,,,,,,lsu-ag-agexp:8421,,,,,,,,lsu-ag-agexp:8413-138
lsu-ag-agexp:8422,,,,,,,,,,,lsu-ag-agexp:8413-147,,,,,,,,,,,,,,lsu-ag-agexp:8422,,,,,,,,lsu-ag-agexp:8413-147
lsu-ag-agexp:8423,,,,,,,,,,,lsu-ag-agexp:8413-43,,,,,,,,,,,,,,lsu-ag-agexp:8423,,,,,,,,lsu-ag-agexp:8413-43
lsu-ag-agexp:8424,,,,,,,,,,,lsu-ag-agexp:8413-70,,,,,,,,,,,,,,lsu-ag-agexp:8424,,,,,,,,lsu-ag-agexp:8413-70
lsu-ag-agexp:8425,,,,,,,,,,,lsu-ag-agexp:8413-142,,,,,,,,,,,,,,lsu-ag-agexp:8425,,,,,,,,lsu-ag-agexp:8413-142
lsu-ag-agexp:8426,,,,,,,,,,,lsu-ag-agexp:8413-73,,,,,,,,,,,,,,lsu-ag-agexp:8426,,,,,,,,lsu-ag-agexp:8413-73
lsu-ag-agexp:8427,,,,,,,,,,,lsu-ag-agexp:8413-116,,,,,,,,,,,,,,lsu-ag-agexp:8427,,,,,,,,lsu-ag-agexp:8413-116
lsu-ag-agexp:8428,,,,,,,,,,,lsu-ag-agexp:8413-95,,,,,,,,,,,,,,lsu-ag-agexp:8428,,,,,,,,lsu-ag-agexp:8413-95
lsu-ag-agexp:8429,,,,,,,,,,,lsu-ag-agexp:8413-109,,,,,,,,,,,,,,lsu-ag-agexp:8429,,,,,,,,lsu-ag-agexp:8413-109
lsu-ag-agexp:842,,,,,,,,,,,lsu-ag-agexp:831-15,,,,,,,,,,,,,,lsu-ag-agexp:842,,,,,,,,lsu-ag-agexp:831-15
lsu-ag-agexp:8430,,,,,,,,,,,lsu-ag-agexp:8413-12,,,,,,,,,,,,,,lsu-ag-agexp:8430,,,,,,,,lsu-ag-agexp:8413-12
lsu-ag-agexp:8431,,,,,,,,,,,lsu-ag-agexp:8413-112,,,,,,,,,,,,,,lsu-ag-agexp:8431,,,,,,,,lsu-ag-agexp:8413-112
lsu-ag-agexp:8432,,,,,,,,,,,lsu-ag-agexp:8413-150,,,,,,,,,,,,,,lsu-ag-agexp:8432,,,,,,,,lsu-ag-agexp:8413-150
lsu-ag-agexp:8433,,,,,,,,,,,lsu-ag-agexp:8413-136,,,,,,,,,,,,,,lsu-ag-agexp:8433,,,,,,,,lsu-ag-agexp:8413-136
