id,field_abstract,field_alt_title,field_classification,field_copyright_date,field_dewey_classification,field_edition,field_edtf_date_created,field_edtf_date_issued,field_extent,field_full_title,field_geographic_subject,field_identifier,field_isbn,field_language,field_lcc_classification,field_linked_agent,field_local_identifier,field_mode_of_issuance,field_note,field_oclc_number,field_physical_form,field_pid,field_place_published,field_place_published_country,field_resource_type,field_rights,field_subject,field_subjects_name,field_table_of_contents,title,file,parent_id,field_weight,field_member_of,field_model
lsu-ag-agexp:8633,,,,,,,,,,lsu-ag-agexp:8610-5,,,,,,,,,,,,lsu-ag-agexp:8633,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-5,,,,,Language
lsu-ag-agexp:8634,,,,,,,,,,lsu-ag-agexp:8610-45,,,,,,,,,,,,lsu-ag-agexp:8634,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-45,,,,,Language
lsu-ag-agexp:8635,,,,,,,,,,lsu-ag-agexp:8610-1,,,,,,,,,,,,lsu-ag-agexp:8635,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-1,,,,,Language
lsu-ag-agexp:8636,,,,,,,,,,lsu-ag-agexp:8610-6,,,,,,,,,,,,lsu-ag-agexp:8636,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-6,,,,,Language
lsu-ag-agexp:8637,,,,,,,,,,lsu-ag-agexp:8610-7,,,,,,,,,,,,lsu-ag-agexp:8637,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-7,,,,,Language
lsu-ag-agexp:8638,,,,,,,,,,lsu-ag-agexp:8610-10,,,,,,,,,,,,lsu-ag-agexp:8638,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-10,,,,,Language
lsu-ag-agexp:8639,,,,,,,,,,lsu-ag-agexp:8610-38,,,,,,,,,,,,lsu-ag-agexp:8639,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-38,,,,,Language
lsu-ag-agexp:863,,,,,,,,,,lsu-ag-agexp:831-8,,,,,,,,,,,,lsu-ag-agexp:863,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:831-8,,,,,Language
lsu-ag-agexp:8640,,,,,,,,,,lsu-ag-agexp:8610-39,,,,,,,,,,,,lsu-ag-agexp:8640,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-39,,,,,Language
lsu-ag-agexp:8641,,,,,,,,,,lsu-ag-agexp:8610-18,,,,,,,,,,,,lsu-ag-agexp:8641,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-18,,,,,Language
lsu-ag-agexp:8642,,,,,,,,,,lsu-ag-agexp:8610-42,,,,,,,,,,,,lsu-ag-agexp:8642,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-42,,,,,Language
lsu-ag-agexp:8643,,,,,,,,,,lsu-ag-agexp:8610-26,,,,,,,,,,,,lsu-ag-agexp:8643,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-26,,,,,Language
lsu-ag-agexp:8644,,,,,,,,,,lsu-ag-agexp:8610-13,,,,,,,,,,,,lsu-ag-agexp:8644,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-13,,,,,Language
lsu-ag-agexp:8645,,,,,,,,,,lsu-ag-agexp:8610-28,,,,,,,,,,,,lsu-ag-agexp:8645,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-28,,,,,Language
lsu-ag-agexp:8646,,,,,,,,,,lsu-ag-agexp:8610-2,,,,,,,,,,,,lsu-ag-agexp:8646,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-2,,,,,Language
lsu-ag-agexp:8647,,,,,,,,,,lsu-ag-agexp:8610-22,,,,,,,,,,,,lsu-ag-agexp:8647,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-22,,,,,Language
lsu-ag-agexp:8648,,,,,,,,,,lsu-ag-agexp:8610-21,,,,,,,,,,,,lsu-ag-agexp:8648,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-21,,,,,Language
lsu-ag-agexp:8649,,,,,,,,,,lsu-ag-agexp:8610-20,,,,,,,,,,,,lsu-ag-agexp:8649,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-20,,,,,Language
lsu-ag-agexp:864,,,,,,,,,,lsu-ag-agexp:831-14,,,,,,,,,,,,lsu-ag-agexp:864,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:831-14,,,,,Language
lsu-ag-agexp:8650,,,,,,,,,,lsu-ag-agexp:8610-8,,,,,,,,,,,,lsu-ag-agexp:8650,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-8,,,,,Language
lsu-ag-agexp:8651,,,,,,,,,,lsu-ag-agexp:8610-14,,,,,,,,,,,,lsu-ag-agexp:8651,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-14,,,,,Language
lsu-ag-agexp:8652,,,,,,,,,,lsu-ag-agexp:8610-11,,,,,,,,,,,,lsu-ag-agexp:8652,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-11,,,,,Language
lsu-ag-agexp:8653,,,,,,,,,,lsu-ag-agexp:8610-37,,,,,,,,,,,,lsu-ag-agexp:8653,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-37,,,,,Language
lsu-ag-agexp:8654,,,,,,,,,,lsu-ag-agexp:8610-34,,,,,,,,,,,,lsu-ag-agexp:8654,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-34,,,,,Language
lsu-ag-agexp:8655,,,,,,,,,,lsu-ag-agexp:8610-44,,,,,,,,,,,,lsu-ag-agexp:8655,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-44,,,,,Language
